simple_date,year,steps,mins_asleep,efficiency
2013-06-05,2013,20772,376,77
2013-06-06,2013,22368,367,78
2013-06-07,2013,21413,383,78
2013-06-08,2013,20041,414,87
2013-06-09,2013,14953,392,75
2013-06-09,2013,14953,392,75
2013-06-10,2013,17455,246,44
2013-06-11,2013,21010,418,83
2013-06-12,2013,23806,310,76
2013-06-13,2013,13503,323,86
2013-06-14,2013,20153,391,73
2013-06-15,2013,18046,397,79
2013-06-16,2013,22677,354,87
2013-06-17,2013,18541,420,87
2013-06-18,2013,14954,371,79
2013-06-19,2013,11331,476,88
2013-06-20,2013,19046,314,69
2013-06-21,2013,19995,378,84
2013-06-22,2013,25364,386,82
2013-06-23,2013,20094,419,80
2013-06-24,2013,12778,324,69
2013-06-25,2013,18501,432,87
2013-06-26,2013,20199,377,82
2013-06-27,2013,19542,146,74
2013-06-28,2013,13700,371,79
2013-06-29,2013,6918,141,72
2013-06-30,2013,15579,368,87
2013-07-01,2013,16984,352,76
2013-07-02,2013,15139,325,71
2013-07-03,2013,25875,292,76
2013-07-04,2013,9125,484,84
2013-07-05,2013,20273,363,68
2013-07-06,2013,23122,206,84
2013-07-06,2013,23122,402,90
2013-07-07,2013,16840,422,73
2013-07-08,2013,25824,406,78
2013-07-09,2013,15100,353,69
2013-07-09,2013,15100,353,69
2013-07-10,2013,20967,354,76
2013-07-11,2013,16263,438,83
2013-07-12,2013,16156,350,86
2013-07-13,2013,3822,0,0
2013-07-13,2013,3822,0,0
2013-07-13,2013,3822,54,32
2013-07-14,2013,19346,0,0
2013-07-14,2013,19346,399,74
2013-07-15,2013,19537,345,82
2013-07-16,2013,15712,401,82
2013-07-17,2013,15668,439,85
2013-07-18,2013,17422,378,81
2013-07-19,2013,18745,440,86
2013-07-20,2013,10759,366,78
2013-07-22,2013,20046,358,76
2013-07-23,2013,18746,419,80
2013-07-24,2013,14511,432,87
2013-07-25,2013,12571,390,73
2013-07-26,2013,20059,377,78
2013-07-27,2013,17644,413,86
2013-07-28,2013,23341,429,81
2013-07-29,2013,16533,381,74
2013-07-30,2013,18908,446,80
2013-07-31,2013,9446,421,88
2013-08-01,2013,19537,378,74
2013-08-02,2013,20621,252,58
2013-08-03,2013,29777,221,43
2013-08-04,2013,16852,455,85
2013-08-05,2013,12384,441,86
2013-08-06,2013,16062,0,0
2013-08-07,2013,26158,31,100
2013-08-07,2013,26158,181,73
2013-08-07,2013,26158,10,100
2013-08-07,2013,26158,0,0
2013-08-07,2013,26158,140,81
2013-08-09,2013,19374,424,78
2013-08-10,2013,17858,382,75
2013-08-11,2013,17791,42,100
2013-08-11,2013,17791,331,87
2013-08-12,2013,14780,403,83
2013-08-13,2013,21106,370,85
2013-08-14,2013,22165,140,93
2013-08-14,2013,22165,255,82
2013-08-15,2013,19387,413,84
2013-08-16,2013,16495,409,81
2013-09-02,2013,17806,509,85
2013-09-03,2013,17155,357,72
2013-09-04,2013,16998,773,100
2013-09-05,2013,17940,381,80
2013-09-06,2013,19612,184,69
